12×8 DataFrame
 Row │ parameters  mean        std       naive_se    mcse        ess       rhat     ess_per_sec
     │ Symbol      Float64     Float64   Float64     Float64     Float64   Float64  Float64
─────┼──────────────────────────────────────────────────────────────────────────────────────────
   1 │ α           71.1624     5.15448   0.0576289   0.150318    1182.12   1.0035      13.8377
   2 │ σ            6.54709    0.284223  0.00317771  0.00755788  1063.85   1.00489     12.4533
   3 │ τ[1]         6.32681    5.09323   0.056944    0.151422    1008.97   1.00444     11.8109
   4 │ τ[2]         6.3923     5.56875   0.0622605   0.239678     363.527  1.00865      4.25541
   5 │ βⱼ[1,1]      0.212358   0.868892  0.00971451  0.0335731    373.83   1.01154      4.37602
   6 │ βⱼ[2,1]     -0.871648   1.14921   0.0128485   0.0574007    204.669  1.0163       2.39583
   7 │ βⱼ[3,1]      0.538504   0.903921  0.0101061   0.030059     604.9    1.00625      7.08089
   8 │ βⱼ[4,1]      0.089617   0.793148  0.00886767  0.013392    3627.97   1.00043     42.4686
   9 │ βⱼ[1,2]      0.238595   0.812227  0.00908097  0.01654     2804.19   1.00151     32.8256
  10 │ βⱼ[2,2]     -0.92982    1.02565   0.0114672   0.0282944   1161.67   1.00408     13.5984
  11 │ βⱼ[3,2]      0.517143   0.918307  0.010267    0.0207477   1510.1    1.00124     17.6771
  12 │ βⱼ[4,2]      0.0835688  0.80851   0.00903942  0.0154492   2300.16   1.0008      26.9255
